村木 益実,pops,entertainment,business,business,https://www.shobi-u.ac.jp/faculty/artinfo/ouyo/teacher#modal_murakimasumi
伊藤 大,act,act,act,create,https://www.shobi-u.ac.jp/faculty/artinfo/butai/teacher#modal_itomasaru
重野 知央,pops,entertainment,business,create,https://www.shobi-u.ac.jp/faculty/artinfo/ouyo/teacher#modal_shigenotomoo
小林 仁,vocal,vocal,act,performance,https://www.shobi-u.ac.jp/faculty/artinfo/butai/teacher#modal_kobayashihitoshi
井上 昌美,business,business,entertainment,it,https://www.shobi-u.ac.jp/faculty/artinfo/ouyo/teacher#modal_inouemasami
後藤 文夫,classic,brass,brass,performance,https://www.shobi-u.ac.jp/faculty/artinfo/music/teacher#modal_gotofumio
山﨑 岩男,vocal,vocal,classic,performance,https://www.shobi-u.ac.jp/faculty/artinfo/music/teacher#modal_yamazakiiwao
竹内 誠,classic,classic,pops,create,https://www.shobi-u.ac.jp/faculty/artinfo/ouyo/teacher#modal_takeuchimakoto
坪口 昌恭,pops,piano,ensemble,performance,https://www.shobi-u.ac.jp/faculty/artinfo/music/teacher#modal_tsuboguchimasayasu
岡村 宏懇,act,act,business,create,https://www.shobi-u.ac.jp/faculty/artinfo/butai/teacher#modal_okamurahironobu
河内 純,classic,piano,piano,performance,https://www.shobi-u.ac.jp/faculty/artinfo/music/teacher#modal_kawauchijun
片岡 大志,pops,ensemble,create,performance,https://www.shobi-u.ac.jp/faculty/artinfo/music/teacher#modal_kataokadaishi
藤田 千章,pops,ensemble,sound,performance,https://www.shobi-u.ac.jp/faculty/artinfo/music/teacher#modal_fujitachiaki
小島 有利子,classic,classic,it,create,https://www.shobi-u.ac.jp/faculty/artinfo/music/teacher#modal_kojimayuriko
関 聡太郎,vocal,act,business,create,https://www.shobi-u.ac.jp/faculty/artinfo/butai/teacher#modal_sekisoutarou
古澤 彰,it,entertainment,business,create,https://www.shobi-u.ac.jp/faculty/artinfo/ouyo/teacher#modal_yoshizawaakira
青井 智佳子,dance,vocal,performance,create,https://www.shobi-u.ac.jp/faculty/artinfo/butai/teacher#modal_aoichikako
大隅 智佳子,vocal,vocal,classic,performance,https://www.shobi-u.ac.jp/faculty/artinfo/butai/teacher#modal_osumichikako
清水 典人,dance,dance,performance,performance,https://www.shobi-u.ac.jp/faculty/artinfo/butai/teacher#modal_shimizunorihito
宮木 朝子,pops,sound,sound,create,https://www.shobi-u.ac.jp/faculty/artinfo/ouyo/teacher#modal_miyagiasako
前田 拓郎,classic,piano,piano,performance,https://www.shobi-u.ac.jp/faculty/artinfo/music/teacher#modal_maedatakurou
漢那 拓也,it,entertainment,sound,create,https://www.shobi-u.ac.jp/faculty/artinfo/ouyo/teacher#modal_kannnatakuya
川浦 義広,classic,classic,create,create,https://www.shobi-u.ac.jp/faculty/artinfo/ouyo/teacher#modal_kawaurayoshihiro
齋藤 真由美,classic,brass,brass,performance,https://www.shobi-u.ac.jp/faculty/artinfo/music/teacher#modal_saitomayumi
三輪 亜希子,dance,dance,performance,performance,https://www.shobi-u.ac.jp/faculty/artinfo/butai/teacher#modal_miwaakiko
